Date,Close
7/22/2016,43.45
7/25/2016,43.21
7/26/2016,43.46
7/27/2016,43.25
7/28/2016,43.3
7/29/2016,43.57
8/1/2016,43.28
8/2/2016,42.88
8/3/2016,43
8/4/2016,43.06
8/5/2016,43.19
8/8/2016,43.37
8/9/2016,43.67
8/10/2016,43.79
8/11/2016,44.16
8/12/2016,44.07
8/15/2016,44.23
8/16/2016,44.28
8/17/2016,44.31
8/18/2016,44.45
8/19/2016,44.16
8/22/2016,43.92
8/23/2016,44.26
8/24/2016,44.55
8/25/2016,44.49
8/26/2016,44.11
8/29/2016,44.63
8/30/2016,44.84
8/31/2016,44.6
9/1/2016,44.85
9/2/2016,45.27
9/6/2016,45.66
9/7/2016,45.32
9/8/2016,45.03
9/9/2016,44.47
9/12/2016,44.4
9/13/2016,43.5
9/14/2016,43.17
9/15/2016,43.74
9/16/2016,43.28
9/19/2016,43.34
9/20/2016,43.61
9/21/2016,44.15
9/22/2016,44.6
9/23/2016,44.15
9/26/2016,43.73
9/27/2016,43.89
9/28/2016,44.51
9/29/2016,44.31
9/30/2016,44.4
10/3/2016,44.46
10/4/2016,44.27
10/5/2016,44.14
10/6/2016,44.04
10/7/2016,43.84
10/10/2016,44.04
10/11/2016,43.75
10/12/2016,43.68
10/13/2016,44.13
10/14/2016,44.35
10/17/2016,44.54
10/18/2016,44.94
10/19/2016,45.01
10/20/2016,44.86
10/21/2016,45.03
10/24/2016,44.94
10/25/2016,45.17
10/26/2016,45.31
10/27/2016,45.38
10/28/2016,45.23
10/31/2016,45.38
11/1/2016,45.34
11/2/2016,45.14
11/3/2016,45.07
11/4/2016,44.54
11/7/2016,45.16
11/8/2016,45.49
11/9/2016,45.26
11/10/2016,45.88
11/11/2016,45.53
11/14/2016,46.39
11/15/2016,46.43
11/16/2016,46.4
11/17/2016,46.49
11/18/2016,46.85
11/21/2016,47.26
11/22/2016,47.29
11/23/2016,47.41
11/25/2016,47.69
11/28/2016,47.58
11/29/2016,47.74
11/30/2016,47.39
12/1/2016,47.36
12/2/2016,47.67
12/5/2016,47.92
12/6/2016,48.18
12/7/2016,48.84
12/8/2016,49.42
12/9/2016,49.9
12/12/2016,49.87
12/13/2016,50.29
12/14/2016,49.56
12/15/2016,49.84
12/16/2016,49.82
12/19/2016,49.73
12/20/2016,50.11
12/21/2016,49.92
12/22/2016,49.85
12/23/2016,49.56
12/27/2016,49.63
12/28/2016,49.5
12/29/2016,49.42
12/30/2016,49.34
1/3/2017,49.79
1/4/2017,50.84
1/5/2017,51.22
1/6/2017,50.87
1/9/2017,50.66
1/10/2017,50.74
1/11/2017,51.14
1/12/2017,51.14
1/13/2017,51.15
1/17/2017,50.86
1/18/2017,50.27
1/19/2017,50.06
1/20/2017,50.61
1/23/2017,50.78
1/24/2017,51.37
1/25/2017,52.08
1/26/2017,52.19
1/27/2017,51.9
1/30/2017,51.76
1/31/2017,51.77
2/1/2017,51.66
2/2/2017,51.58
2/3/2017,51.83
2/6/2017,51.53
2/7/2017,51.32
2/8/2017,51.52
2/9/2017,51.91
2/10/2017,52.17
2/13/2017,52.35
2/14/2017,52.47
2/15/2017,52.9
2/16/2017,52.97
2/17/2017,53.03
2/21/2017,53.1
2/22/2017,53.67
2/23/2017,53.54
2/24/2017,52.84
2/27/2017,52.73
2/28/2017,51.6
3/1/2017,52.16
3/2/2017,51.49
3/3/2017,52.1
3/6/2017,52.37
3/7/2017,52.23
3/8/2017,52
3/9/2017,51.77
3/10/2017,49.02
3/13/2017,49.85
3/14/2017,49.25
3/15/2017,49.56
3/16/2017,49.71
3/17/2017,49.5
3/20/2017,49.13
3/21/2017,48.57
3/22/2017,48.59
3/23/2017,49
3/24/2017,48.68
3/27/2017,48.7
3/28/2017,49.24
3/29/2017,49.6
3/30/2017,49.66
3/31/2017,50.09
4/3/2017,50.01
4/4/2017,50.17
4/5/2017,49.8
4/6/2017,49.45
4/7/2017,49.38
4/10/2017,49.82
4/11/2017,49.62
4/12/2017,49.41
4/13/2017,48.67
4/17/2017,49.74
4/18/2017,49.26
4/19/2017,48.84
4/20/2017,48.98
4/21/2017,48.59
4/24/2017,49.34
4/25/2017,49.25
4/26/2017,48.32
4/27/2017,47.11
4/28/2017,47.09
5/1/2017,46.98
5/2/2017,46.44
